author,comment,likes
@mochibull,"Merinding nya kerasa sampe sini brook, geloo, baru kali ini merinding",0
@AnisSuci-y7i,Saya orang Surabaya saya sering lewat rumah ini..stiap saya lewat slalu merasa ada wanita berdiri di atas..dari luar biasa y ..ehh ternyata dalem y luas..,0
@nurhaliza7192,nungguin yang di kalisosok nya kapan nyai😭,0
@fitri8282,duet sm ghost ranger kak,0
@GojakGojek-d3e,"Kesini gara gara pesulap merah singgung inisial S,,ternyata ini bohongan semata dan hanya hiburan",0
@zeusthemobilelegend4165,Siapa yg setuju mbak sarah kolaborasi sama ki prana lewu ... pasti seru tuh penelusuran episode selanjutnya,0
@Dai_houyu,"Sumpah episode kali ini mual banget pengen muntah, kepala berat banget apalagi kaki tiba-tiba sakit",0
@rizkyrobiatinnisa9941,haaaa gilaaa penasaran bgt apaan sih ibunya mas daviiidd 🥹🥹🥹🥹,0
@irmawulandari9148,Saya download app dmsplus di tv android. Masukin email gagal trus.&quot; Email tidak di temukan atau password salah&quot; kenapa ya?? .mungkin dsni ada yg bisa bantu pak @_demianaditya_😊,0
@Rohaniflog,"Hy kak sara aku penonton setia DMS.<br>Tanggapan kak sara tentang kota sarjana apakah itu benar atau cuma sekedar mitos, soalnya saya tinggal di Kalimantan  😊😊",0
@annashinta1512,Seneng ngumpul semua sayang nggak ada bang Fadi,0
@Annisa-fy7ol,EPS 6 KAPAN TAYANG??,0
@yuniyulianingsih1498,Kapan tayang yg episode trkhir d surabaya kak yg mamahnya bang David ayo dongg aku mau nntn 😭,0
@stharyanti3157,Mba bng fadi kmn y kok nga prnh liat,0
@silviadwianggraini1758,ini eps 4 nya gaada kah??,0
@sofiaturrohmah1552,Episode 4nya mana?q tunggu2 lo,0
@Naresih,Mas dedy mirip mimi peri gak sihh?? 😂,0
@Naresih,Gilaaaa mereka full explore<br>Mongol niiihh kudu di bekelin tongkat banyak buat mukulin demit²😂😂,0
@AfrilaMaryenti,Fadi ke mna y?,0
@igapuspawinda2868,Ada yg mau patungan dms+ gak?,0
@YoCoBiasa,Bang fadi kmna nih ga ada,0
@ayunitaapinkadewii2282,Gak sabar nunggu rumah buk lilis,0
@lennyaprillia2862,Dms skrg emang tayangnya ga seminggu sekali ya,0
@Mahasiswa_tani,Agak membosankan sekarang crewnya terlalu banyak,0
@ieyra_syahira,Mcm mne orang malaysia nak langan dms+,0
@dianlateevalrasyid7476,"Explore ke mesir dong,,klo bisa ke pyramid",0
@galihangga5362,Kaget waktu nyorot bang Mongol dari atas waktu bang Wisnu naik tangga😂,0
@sacikalumajang4781,"uda nunggu&quot; setia ma dms tpi giliran yg ditunggu di dms+ kecewa bgt , kami yg slalu gercep ada notif dms tpi gk bisa nonton , bukan gk mau nonton di dms plus jangan kan buat dms+ beli kuota aja susah nya minta ampun duit gk ada",0
@Ateuika,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=1062"">17:42</a>",1
@FaiqoIzzah,kok mual banget nyai 😢 video yang ini,0
@EmiliaJudin-z3n,macam mana nak langgan dms plus dari malaysia ni ?????? tolong mau tengok,0
@ukiabduljabar4096,"Aku tiap hari ngcek in siapa tau udah upload ,, taunya belum jugaaaa",0
@ErnyPratiwi-t7k,"karna penasaran ,akhirnya diriku rela berlangggan DMS+ ❤❤❤",0
@Rahmaa-1-c,Pasti capek ya  mami sara😢,0
@KurniadeaAnanda,Pak dem eps 2 4 kok gdk d dms+ y cmn eps 6 yg ad,0
@vivinikapranata7595,Kok belum.ada yg baru ya minggu kemarin,0
@tazkiyyafillahaulia7311,Gak biasanya pak dem blm update terbaru,0
@Edakdhalimunthe306,Dan jjur sya setiap nonton cuplikan video nyai ataupun yg durasi panjangnya sy ikut pusing berat smpai sesak.. Bentrok bgt aurnya energi dsna dn sy punya. Tp kl yg ringan2 gt hnya pusing paling minun obat udah kelar🤣🤭 bwt netralisir nonton video mak beti yg lucu2 (bkn promosi ya hnya skdr ksh obat kl ad yg kyg sya),0
